ImageFile,FaceX,FaceY,FaceWidth,FaceHeight
real_00001.jpg,146,140,428,428
real_00002.jpg,80,140,436,436
real_00003.jpg,33,121,362,362
real_00004.jpg,134,173,356,356
real_00006.jpg,61,62,472,472
real_00008.jpg,328,432,83,83
real_00008.jpg,253,217,245,245
real_00010.jpg,17,84,448,448
real_00011.jpg,84,120,435,435
real_00012.jpg,113,188,375,375
real_00014.jpg,75,108,441,441
real_00015.jpg,66,92,455,455
real_00017.jpg,84,125,447,447
real_00019.jpg,94,212,354,354
real_00022.jpg,43,46,452,452
real_00023.jpg,60,42,481,481
real_00024.jpg,64,60,503,503
real_00025.jpg,91,121,438,438
real_00026.jpg,17,84,466,466
real_00026.jpg,121,358,130,130
real_00027.jpg,28,60,501,501
real_00028.jpg,65,84,440,440
real_00030.jpg,96,170,387,387
real_00031.jpg,12,159,420,420
real_00032.jpg,117,169,403,403
real_00033.jpg,59,50,483,483
real_00035.jpg,112,175,392,392
real_00036.jpg,222,204,279,279
real_00037.jpg,52,82,508,508
real_00038.jpg,115,165,379,379
real_00040.jpg,95,163,305,305
real_00041.jpg,61,79,437,437
real_00043.jpg,142,119,439,439
real_00044.jpg,96,123,420,420
real_00045.jpg,161,141,392,392
real_00046.jpg,52,133,428,428
real_00047.jpg,100,477,73,73
real_00047.jpg,124,105,418,418
real_00048.jpg,117,134,390,390
real_00049.jpg,13,562,28,28
real_00049.jpg,92,179,383,383
real_00050.jpg,186,146,363,363
real_00051.jpg,66,176,337,337
real_00052.jpg,107,205,363,363
real_00053.jpg,125,148,391,391
real_00054.jpg,127,131,421,421
real_00055.jpg,201,301,106,106
real_00055.jpg,496,475,70,70
real_00058.jpg,43,46,517,517
real_00059.jpg,72,139,424,424
real_00060.jpg,80,19,474,474
real_00061.jpg,52,32,485,485
real_00062.jpg,141,188,378,378
real_00063.jpg,12,65,465,465
real_00065.jpg,89,125,431,431
real_00067.jpg,79,83,460,460
real_00068.jpg,75,154,412,412
real_00069.jpg,33,83,504,504
real_00071.jpg,98,162,375,375
real_00073.jpg,38,154,416,416
real_00074.jpg,148,148,425,425
real_00075.jpg,29,112,429,429
real_00076.jpg,67,56,461,461
real_00078.jpg,69,107,438,438
real_00079.jpg,40,138,408,408
real_00080.jpg,131,129,438,438
real_00082.jpg,63,88,479,479
real_00083.jpg,126,241,343,343
real_00084.jpg,36,99,473,473
real_00085.jpg,48,59,470,470
real_00087.jpg,105,206,349,349
real_00088.jpg,108,129,447,447
real_00089.jpg,102,185,405,405
real_00090.jpg,70,77,480,480
real_00092.jpg,47,189,391,391
real_00093.jpg,106,152,430,430
real_00094.jpg,22,41,538,538
real_00095.jpg,62,142,418,418
real_00096.jpg,78,131,432,432
real_00100.jpg,24,92,469,469
real_00101.jpg,61,69,477,477
real_00102.jpg,86,112,441,441
real_00103.jpg,301,121,60,60
real_00104.jpg,138,186,395,395
real_00104.jpg,28,1,55,55
real_00106.jpg,76,67,477,477
real_00107.jpg,79,156,388,388
real_00108.jpg,70,147,440,440
real_00109.jpg,44,55,505,505
real_00110.jpg,70,121,405,405
real_00111.jpg,35,177,344,344
real_00112.jpg,167,139,367,367
real_00113.jpg,79,108,476,476
real_00114.jpg,53,108,401,401
real_00115.jpg,89,124,413,413
real_00116.jpg,132,159,372,372
real_00117.jpg,158,188,346,346
real_00119.jpg,171,100,402,402
real_00120.jpg,72,99,466,466
real_00121.jpg,58,113,454,454
real_00122.jpg,30,71,508,508
real_00123.jpg,117,154,404,404
real_00124.jpg,113,164,389,389
real_00125.jpg,82,131,397,397
real_00126.jpg,98,135,432,432
real_00127.jpg,97,174,351,351
real_00128.jpg,52,24,510,510
real_00129.jpg,26,33,471,471
real_00130.jpg,105,113,387,387
real_00131.jpg,120,179,374,374
real_00132.jpg,70,92,441,441
real_00133.jpg,51,25,482,482
real_00134.jpg,65,95,459,459
real_00135.jpg,95,193,386,386
real_00136.jpg,49,112,441,441
real_00137.jpg,83,125,443,443
real_00138.jpg,72,109,401,401
real_00139.jpg,102,128,446,446
real_00140.jpg,94,164,399,399
real_00141.jpg,86,134,417,417
real_00142.jpg,75,110,422,422
real_00143.jpg,178,143,348,348
real_00144.jpg,75,93,450,450
real_00145.jpg,90,120,415,415
real_00149.jpg,72,190,299,299
real_00150.jpg,42,87,484,484
real_00151.jpg,79,117,430,430
real_00152.jpg,71,164,381,381
real_00153.jpg,118,373,94,94
real_00154.jpg,61,152,402,402
real_00156.jpg,167,188,378,378
real_00157.jpg,65,58,454,454
real_00158.jpg,44,102,472,472
real_00159.jpg,114,102,434,434
real_00160.jpg,100,177,368,368
real_00161.jpg,56,240,116,116
real_00163.jpg,32,131,427,427
real_00164.jpg,88,125,428,428
real_00165.jpg,197,95,388,388
real_00165.jpg,29,196,160,160
real_00166.jpg,120,169,363,363
real_00167.jpg,112,167,390,390
real_00168.jpg,116,178,376,376
real_00169.jpg,169,181,398,398
real_00170.jpg,53,131,446,446
real_00171.jpg,74,102,439,439
